provincia,fecha,NO2,O3,PM_particle,CO,velmedia,prec,label_ica,split
Avila,2013-02-19,13.0,62.0,21.0,0.2,4.4,1.6,1,train
Avila,2013-02-20,9.0,62.0,19.0,0.2,2.5,0.0,2,train
Avila,2013-02-21,10.0,61.0,14.0,0.2,2.8,4.6,1,train
Avila,2013-02-22,3.0,88.0,12.0,0.2,3.1,3.4,2,train
Avila,2013-02-23,3.0,84.0,18.0,0.2,5.3,0.0,0,train
Avila,2013-02-24,3.0,77.0,19.0,0.2,4.4,0.6,1,train
Avila,2013-02-25,9.0,75.0,20.0,0.2,2.5,0.0,2,train
Avila,2013-02-26,11.0,76.0,19.0,0.2,2.5,0.0,0,train
Avila,2013-02-27,13.0,76.0,22.0,0.2,4.4,0.4,0,train
Avila,2013-02-28,8.0,93.0,20.0,0.2,4.2,1.0,0,train
Avila,2013-03-01,22.0,59.0,19.0,0.2,2.5,0.2,0,train
Avila,2013-03-02,4.0,72.0,17.0,0.2,2.8,0.0,2,train
Avila,2013-03-03,9.0,96.0,21.0,0.2,3.9,0.0,0,train
Avila,2013-03-04,13.0,72.0,20.0,0.2,10.0,6.2,1,train
Avila,2013-03-05,7.0,78.0,13.0,0.2,4.4,0.4,2,train
Avila,2013-03-06,4.0,88.0,15.0,0.2,3.1,1.0,0,train
Avila,2013-03-07,6.0,74.0,16.0,0.2,4.7,3.6,0,train
Avila,2013-03-08,6.0,93.0,18.0,0.2,2.2,7.6,1,train
Avila,2013-03-09,13.0,87.0,22.0,0.2,2.5,0.4,1,train
Avila,2013-03-10,5.0,46.0,16.0,0.2,4.2,0.0,0,train
Avila,2013-03-11,8.0,40.0,11.0,0.2,4.7,0.2,0,train
Avila,2013-03-12,33.0,40.0,30.0,0.2,2.8,2.0,2,train
Avila,2013-03-13,3.0,92.0,25.0,0.2,6.4,0.2,1,train
Avila,2013-03-14,3.0,87.0,29.0,0.2,5.0,0.0,1,train
Avila,2013-03-15,11.0,81.0,18.0,0.2,1.4,0.4,2,train
Avila,2013-03-16,8.0,78.0,11.0,0.2,3.3,2.4,0,train
Avila,2013-03-17,5.0,80.0,13.0,0.2,3.9,17.4,0,train
Avila,2013-03-18,5.0,87.0,22.0,0.2,4.7,0.0,0,train
Avila,2013-03-19,13.0,61.0,24.0,0.2,3.1,2.8,0,train
Avila,2013-03-20,9.0,79.0,24.0,0.2,2.5,0.0,0,train
Avila,2013-03-21,11.0,73.0,29.0,0.2,4.2,0.0,0,train
Avila,2013-03-22,13.0,84.0,21.0,0.2,3.9,2.0,0,train
Avila,2013-03-23,7.0,85.0,15.0,0.2,3.6,1.2,0,train
Avila,2013-03-24,2.0,85.0,11.0,0.2,3.6,0.4,0,train
Avila,2013-03-25,3.0,81.0,16.0,0.2,4.2,2.0,2,train
Avila,2013-03-26,3.0,70.0,12.0,0.2,3.1,1.2,2,train
Avila,2013-03-27,5.0,81.0,16.0,0.2,2.5,12.4,1,train
Avila,2013-03-28,2.0,82.0,13.0,0.2,2.8,0.2,1,train
Avila,2013-03-29,2.0,78.0,11.0,0.2,5.6,3.6,0,train
Avila,2013-03-30,2.0,96.0,17.0,0.2,6.4,0.0,1,train
Avila,2013-03-31,5.0,76.0,16.0,0.2,2.8,10.2,0,train
Avila,2013-04-01,31.0,35.0,20.0,0.2,4.7,1.4,1,train
Avila,2013-04-02,23.0,44.0,21.0,0.2,3.9,0.0,1,train
Avila,2013-04-03,10.0,86.0,24.0,0.2,2.8,0.4,0,train
Avila,2013-04-04,10.0,70.0,20.0,0.2,2.8,5.4,0,train
Avila,2013-04-05,7.0,92.0,17.0,0.2,5.0,0.0,2,train
Avila,2013-04-06,8.0,85.0,17.0,0.2,4.4,0.0,0,train
Avila,2013-04-07,7.0,68.0,18.0,0.2,1.9,0.0,0,train
Avila,2013-04-08,8.0,84.0,17.0,0.2,4.4,0.0,1,train
Avila,2013-04-09,8.0,107.0,25.0,0.2,5.3,0.0,1,train
